year;month;param1;param2;param3;param4;param5;sel_type;fleet_segment
;seed;120;5;230;;;2;DTS_VL1218
2006;Jan;120;5;230;;;2;DTS_VL1218
2006;Feb;120;5;230;;;2;DTS_VL1218
2006;Mar;120;5;230;;;2;DTS_VL1218
2006;Apr;120;5;230;;;2;DTS_VL1218
2006;May;120;5;230;;;2;DTS_VL1218
2006;Jun;120;5;230;;;2;DTS_VL1218
2006;Jul;120;5;230;;;2;DTS_VL1218
2006;Aug;120;5;230;;;2;DTS_VL1218
2006;Set;120;5;230;;;2;DTS_VL1218
2006;Oct;120;5;230;;;2;DTS_VL1218
2006;Nov;120;5;230;;;2;DTS_VL1218
2006;Dec;120;5;230;;;2;DTS_VL1218
2007;Jan;120;5;230;;;2;DTS_VL1218
2007;Feb;120;5;230;;;2;DTS_VL1218
2007;Mar;120;5;230;;;2;DTS_VL1218
2007;Apr;120;5;230;;;2;DTS_VL1218
2007;May;120;5;230;;;2;DTS_VL1218
2007;Jun;120;5;230;;;2;DTS_VL1218
2007;Jul;120;5;230;;;2;DTS_VL1218
2007;Aug;120;5;230;;;2;DTS_VL1218
2007;Set;120;5;230;;;2;DTS_VL1218
2007;Oct;120;5;230;;;2;DTS_VL1218
2007;Nov;120;5;230;;;2;DTS_VL1218
2007;Dec;120;5;230;;;2;DTS_VL1218
2008;Jan;120;5;230;;;2;DTS_VL1218
2008;Feb;120;5;230;;;2;DTS_VL1218
2008;Mar;120;5;230;;;2;DTS_VL1218
2008;Apr;120;5;230;;;2;DTS_VL1218
2008;May;120;5;230;;;2;DTS_VL1218
2008;Jun;120;5;230;;;2;DTS_VL1218
2008;Jul;120;5;230;;;2;DTS_VL1218
2008;Aug;120;5;230;;;2;DTS_VL1218
2008;Set;120;5;230;;;2;DTS_VL1218
2008;Oct;120;5;230;;;2;DTS_VL1218
2008;Nov;120;5;230;;;2;DTS_VL1218
2008;Dec;120;5;230;;;2;DTS_VL1218
2009;Jan;120;5;230;;;2;DTS_VL1218
2009;Feb;120;5;230;;;2;DTS_VL1218
2009;Mar;120;5;230;;;2;DTS_VL1218
2009;Apr;120;5;230;;;2;DTS_VL1218
2009;May;120;5;230;;;2;DTS_VL1218
2009;Jun;120;5;230;;;2;DTS_VL1218
2009;Jul;120;5;230;;;2;DTS_VL1218
2009;Aug;120;5;230;;;2;DTS_VL1218
2009;Set;120;5;230;;;2;DTS_VL1218
2009;Oct;120;5;230;;;2;DTS_VL1218
2009;Nov;120;5;230;;;2;DTS_VL1218
2009;Dec;120;5;230;;;2;DTS_VL1218
2010;Jan;120;5;230;;;2;DTS_VL1218
2010;Feb;120;5;230;;;2;DTS_VL1218
2010;Mar;120;5;230;;;2;DTS_VL1218
2010;Apr;120;5;230;;;2;DTS_VL1218
2010;May;120;5;230;;;2;DTS_VL1218
2010;Jun;120;5;230;;;2;DTS_VL1218
2010;Jul;120;5;230;;;2;DTS_VL1218
2010;Aug;120;5;230;;;2;DTS_VL1218
2010;Set;120;5;230;;;2;DTS_VL1218
2010;Oct;120;5;230;;;2;DTS_VL1218
2010;Nov;120;5;230;;;2;DTS_VL1218
2010;Dec;120;5;230;;;2;DTS_VL1218
2011;Jan;120;5;230;;;2;DTS_VL1218
2011;Feb;120;5;230;;;2;DTS_VL1218
2011;Mar;120;5;230;;;2;DTS_VL1218
2011;Apr;120;5;230;;;2;DTS_VL1218
