year;month;landing_obligation;fleet_segment
2008;Jan;N;ITA_DTS_0612
2008;Feb;N;ITA_DTS_0612
2008;Mar;N;ITA_DTS_0612
2008;Apr;N;ITA_DTS_0612
2008;May;N;ITA_DTS_0612
2008;Jun;N;ITA_DTS_0612
2008;Jul;N;ITA_DTS_0612
2008;Aug;N;ITA_DTS_0612
2008;Set;N;ITA_DTS_0612
2008;Oct;N;ITA_DTS_0612
2008;Nov;N;ITA_DTS_0612
2008;Dec;N;ITA_DTS_0612
2009;Jan;N;ITA_DTS_0612
2009;Feb;N;ITA_DTS_0612
2009;Mar;N;ITA_DTS_0612
2009;Apr;N;ITA_DTS_0612
2009;May;N;ITA_DTS_0612
2009;Jun;N;ITA_DTS_0612
2009;Jul;N;ITA_DTS_0612
2009;Aug;N;ITA_DTS_0612
2009;Set;N;ITA_DTS_0612
2009;Oct;N;ITA_DTS_0612
2009;Nov;N;ITA_DTS_0612
2009;Dec;N;ITA_DTS_0612
2010;Jan;N;ITA_DTS_0612
2010;Feb;N;ITA_DTS_0612
2010;Mar;N;ITA_DTS_0612
2010;Apr;N;ITA_DTS_0612
2010;May;N;ITA_DTS_0612
2010;Jun;N;ITA_DTS_0612
2010;Jul;N;ITA_DTS_0612
2010;Aug;N;ITA_DTS_0612
2010;Set;N;ITA_DTS_0612
2010;Oct;N;ITA_DTS_0612
2010;Nov;N;ITA_DTS_0612
2010;Dec;N;ITA_DTS_0612
2011;Jan;N;ITA_DTS_0612
2011;Feb;N;ITA_DTS_0612
2011;Mar;N;ITA_DTS_0612
2011;Apr;N;ITA_DTS_0612
2011;May;N;ITA_DTS_0612
2011;Jun;N;ITA_DTS_0612
2011;Jul;N;ITA_DTS_0612
2011;Aug;N;ITA_DTS_0612
2011;Set;N;ITA_DTS_0612
2011;Oct;N;ITA_DTS_0612
2011;Nov;N;ITA_DTS_0612
2011;Dec;N;ITA_DTS_0612
2012;Jan;N;ITA_DTS_0612
2012;Feb;N;ITA_DTS_0612
2012;Mar;N;ITA_DTS_0612
2012;Apr;N;ITA_DTS_0612
2012;May;N;ITA_DTS_0612
2012;Jun;N;ITA_DTS_0612
2012;Jul;N;ITA_DTS_0612
2012;Aug;N;ITA_DTS_0612
2012;Set;N;ITA_DTS_0612
2012;Oct;N;ITA_DTS_0612
2012;Nov;N;ITA_DTS_0612
2012;Dec;N;ITA_DTS_0612
2013;Jan;N;ITA_DTS_0612
2013;Feb;N;ITA_DTS_0612
2013;Mar;N;ITA_DTS_0612
2013;Apr;N;ITA_DTS_0612
2013;May;N;ITA_DTS_0612
2013;Jun;N;ITA_DTS_0612
2013;Jul;N;ITA_DTS_0612
2013;Aug;N;ITA_DTS_0612
2013;Set;N;ITA_DTS_0612
2013;Oct;N;ITA_DTS_0612
2013;Nov;N;ITA_DTS_0612
2013;Dec;N;ITA_DTS_0612
2014;Jan;N;ITA_DTS_0612
2014;Feb;N;ITA_DTS_0612
2014;Mar;N;ITA_DTS_0612
2014;Apr;N;ITA_DTS_0612
2014;May;N;ITA_DTS_0612
2014;Jun;N;ITA_DTS_0612
2014;Jul;N;ITA_DTS_0612
2014;Aug;N;ITA_DTS_0612
2014;Set;N;ITA_DTS_0612
2014;Oct;N;ITA_DTS_0612
2014;Nov;N;ITA_DTS_0612
2014;Dec;N;ITA_DTS_0612
2008;Jan;N;ITA_DTS_1218
2008;Feb;N;ITA_DTS_1218
2008;Mar;N;ITA_DTS_1218
2008;Apr;N;ITA_DTS_1218
2008;May;N;ITA_DTS_1218
2008;Jun;N;ITA_DTS_1218
2008;Jul;N;ITA_DTS_1218
2008;Aug;N;ITA_DTS_1218
2008;Set;N;ITA_DTS_1218
2008;Oct;N;ITA_DTS_1218
2008;Nov;N;ITA_DTS_1218
2008;Dec;N;ITA_DTS_1218
2009;Jan;N;ITA_DTS_1218
2009;Feb;N;ITA_DTS_1218
2009;Mar;N;ITA_DTS_1218
2009;Apr;N;ITA_DTS_1218
2009;May;N;ITA_DTS_1218
2009;Jun;N;ITA_DTS_1218
2009;Jul;N;ITA_DTS_1218
2009;Aug;N;ITA_DTS_1218
2009;Set;N;ITA_DTS_1218
2009;Oct;N;ITA_DTS_1218
2009;Nov;N;ITA_DTS_1218
2009;Dec;N;ITA_DTS_1218
2010;Jan;N;ITA_DTS_1218
2010;Feb;N;ITA_DTS_1218
2010;Mar;N;ITA_DTS_1218
2010;Apr;N;ITA_DTS_1218
2010;May;N;ITA_DTS_1218
2010;Jun;N;ITA_DTS_1218
2010;Jul;N;ITA_DTS_1218
2010;Aug;N;ITA_DTS_1218
2010;Set;N;ITA_DTS_1218
2010;Oct;N;ITA_DTS_1218
2010;Nov;N;ITA_DTS_1218
2010;Dec;N;ITA_DTS_1218
2011;Jan;N;ITA_DTS_1218
2011;Feb;N;ITA_DTS_1218
2011;Mar;N;ITA_DTS_1218
2011;Apr;N;ITA_DTS_1218
2011;May;N;ITA_DTS_1218
2011;Jun;N;ITA_DTS_1218
2011;Jul;N;ITA_DTS_1218
2011;Aug;N;ITA_DTS_1218
2011;Set;N;ITA_DTS_1218
2011;Oct;N;ITA_DTS_1218
2011;Nov;N;ITA_DTS_1218
2011;Dec;N;ITA_DTS_1218
2012;Jan;N;ITA_DTS_1218
2012;Feb;N;ITA_DTS_1218
2012;Mar;N;ITA_DTS_1218
2012;Apr;N;ITA_DTS_1218
2012;May;N;ITA_DTS_1218
2012;Jun;N;ITA_DTS_1218
2012;Jul;N;ITA_DTS_1218
2012;Aug;N;ITA_DTS_1218
2012;Set;N;ITA_DTS_1218
2012;Oct;N;ITA_DTS_1218
2012;Nov;N;ITA_DTS_1218
2012;Dec;N;ITA_DTS_1218
2013;Jan;N;ITA_DTS_1218
2013;Feb;N;ITA_DTS_1218
2013;Mar;N;ITA_DTS_1218
2013;Apr;N;ITA_DTS_1218
2013;May;N;ITA_DTS_1218
2013;Jun;N;ITA_DTS_1218
2013;Jul;N;ITA_DTS_1218
2013;Aug;N;ITA_DTS_1218
2013;Set;N;ITA_DTS_1218
2013;Oct;N;ITA_DTS_1218
2013;Nov;N;ITA_DTS_1218
2013;Dec;N;ITA_DTS_1218
2014;Jan;N;ITA_DTS_1218
2014;Feb;N;ITA_DTS_1218
2014;Mar;N;ITA_DTS_1218
2014;Apr;N;ITA_DTS_1218
2014;May;N;ITA_DTS_1218
2014;Jun;N;ITA_DTS_1218
2014;Jul;N;ITA_DTS_1218
2014;Aug;N;ITA_DTS_1218
2014;Set;N;ITA_DTS_1218
2014;Oct;N;ITA_DTS_1218
2014;Nov;N;ITA_DTS_1218
2014;Dec;N;ITA_DTS_1218
2008;Jan;N;ITA_DTS_1840
2008;Feb;N;ITA_DTS_1840
2008;Mar;N;ITA_DTS_1840
2008;Apr;N;ITA_DTS_1840
2008;May;N;ITA_DTS_1840
2008;Jun;N;ITA_DTS_1840
2008;Jul;N;ITA_DTS_1840
2008;Aug;N;ITA_DTS_1840
2008;Set;N;ITA_DTS_1840
2008;Oct;N;ITA_DTS_1840
2008;Nov;N;ITA_DTS_1840
2008;Dec;N;ITA_DTS_1840
2009;Jan;N;ITA_DTS_1840
2009;Feb;N;ITA_DTS_1840
2009;Mar;N;ITA_DTS_1840
2009;Apr;N;ITA_DTS_1840
2009;May;N;ITA_DTS_1840
2009;Jun;N;ITA_DTS_1840
2009;Jul;N;ITA_DTS_1840
2009;Aug;N;ITA_DTS_1840
2009;Set;N;ITA_DTS_1840
2009;Oct;N;ITA_DTS_1840
2009;Nov;N;ITA_DTS_1840
2009;Dec;N;ITA_DTS_1840
2010;Jan;N;ITA_DTS_1840
2010;Feb;N;ITA_DTS_1840
2010;Mar;N;ITA_DTS_1840
2010;Apr;N;ITA_DTS_1840
2010;May;N;ITA_DTS_1840
2010;Jun;N;ITA_DTS_1840
2010;Jul;N;ITA_DTS_1840
2010;Aug;N;ITA_DTS_1840
2010;Set;N;ITA_DTS_1840
2010;Oct;N;ITA_DTS_1840
2010;Nov;N;ITA_DTS_1840
2010;Dec;N;ITA_DTS_1840
2011;Jan;N;ITA_DTS_1840
2011;Feb;N;ITA_DTS_1840
2011;Mar;N;ITA_DTS_1840
2011;Apr;N;ITA_DTS_1840
2011;May;N;ITA_DTS_1840
2011;Jun;N;ITA_DTS_1840
2011;Jul;N;ITA_DTS_1840
2011;Aug;N;ITA_DTS_1840
2011;Set;N;ITA_DTS_1840
2011;Oct;N;ITA_DTS_1840
2011;Nov;N;ITA_DTS_1840
2011;Dec;N;ITA_DTS_1840
2012;Jan;N;ITA_DTS_1840
2012;Feb;N;ITA_DTS_1840
2012;Mar;N;ITA_DTS_1840
2012;Apr;N;ITA_DTS_1840
2012;May;N;ITA_DTS_1840
2012;Jun;N;ITA_DTS_1840
2012;Jul;N;ITA_DTS_1840
2012;Aug;N;ITA_DTS_1840
2012;Set;N;ITA_DTS_1840
2012;Oct;N;ITA_DTS_1840
2012;Nov;N;ITA_DTS_1840
2012;Dec;N;ITA_DTS_1840
2013;Jan;N;ITA_DTS_1840
2013;Feb;N;ITA_DTS_1840
2013;Mar;N;ITA_DTS_1840
2013;Apr;N;ITA_DTS_1840
2013;May;N;ITA_DTS_1840
2013;Jun;N;ITA_DTS_1840
2013;Jul;N;ITA_DTS_1840
2013;Aug;N;ITA_DTS_1840
2013;Set;N;ITA_DTS_1840
2013;Oct;N;ITA_DTS_1840
2013;Nov;N;ITA_DTS_1840
2013;Dec;N;ITA_DTS_1840
2014;Jan;N;ITA_DTS_1840
2014;Feb;N;ITA_DTS_1840
2014;Mar;N;ITA_DTS_1840
