year;month;param1;param2;param3;param4;param5;sel_type;fleet_segment
;seed;0;0;0;0;0;0;ITA_TM_VL_1218
2008;Jan;0;0;0;0;0;0;ITA_TM_VL_1218
2008;Feb;0;0;0;0;0;0;ITA_TM_VL_1218
2008;Mar;0;0;0;0;0;0;ITA_TM_VL_1218
2008;Apr;0;0;0;0;0;0;ITA_TM_VL_1218
2008;May;0;0;0;0;0;0;ITA_TM_VL_1218
2008;Jun;0;0;0;0;0;0;ITA_TM_VL_1218
2008;Jul;0;0;0;0;0;0;ITA_TM_VL_1218
2008;Aug;0;0;0;0;0;0;ITA_TM_VL_1218
2008;Sep;0;0;0;0;0;0;ITA_TM_VL_1218
2008;Oct;0;0;0;0;0;0;ITA_TM_VL_1218
2008;Nov;0;0;0;0;0;0;ITA_TM_VL_1218
2008;Dec;0;0;0;0;0;0;ITA_TM_VL_1218
2009;Jan;0;0;0;0;0;0;ITA_TM_VL_1218
2009;Feb;0;0;0;0;0;0;ITA_TM_VL_1218
2009;Mar;0;0;0;0;0;0;ITA_TM_VL_1218
2009;Apr;0;0;0;0;0;0;ITA_TM_VL_1218
2009;May;0;0;0;0;0;0;ITA_TM_VL_1218
2009;Jun;0;0;0;0;0;0;ITA_TM_VL_1218
2009;Jul;0;0;0;0;0;0;ITA_TM_VL_1218
2009;Aug;0;0;0;0;0;0;ITA_TM_VL_1218
2009;Sep;0;0;0;0;0;0;ITA_TM_VL_1218
2009;Oct;0;0;0;0;0;0;ITA_TM_VL_1218
2009;Nov;0;0;0;0;0;0;ITA_TM_VL_1218
2009;Dec;0;0;0;0;0;0;ITA_TM_VL_1218
2010;Jan;0;0;0;0;0;0;ITA_TM_VL_1218
2010;Feb;0;0;0;0;0;0;ITA_TM_VL_1218
2010;Mar;0;0;0;0;0;0;ITA_TM_VL_1218
2010;Apr;0;0;0;0;0;0;ITA_TM_VL_1218
2010;May;0;0;0;0;0;0;ITA_TM_VL_1218
2010;Jun;0;0;0;0;0;0;ITA_TM_VL_1218
2010;Jul;0;0;0;0;0;0;ITA_TM_VL_1218
2010;Aug;0;0;0;0;0;0;ITA_TM_VL_1218
2010;Sep;0;0;0;0;0;0;ITA_TM_VL_1218
2010;Oct;0;0;0;0;0;0;ITA_TM_VL_1218
2010;Nov;0;0;0;0;0;0;ITA_TM_VL_1218
2010;Dec;0;0;0;0;0;0;ITA_TM_VL_1218
2011;Jan;0;0;0;0;0;0;ITA_TM_VL_1218
2011;Feb;0;0;0;0;0;0;ITA_TM_VL_1218
2011;Mar;0;0;0;0;0;0;ITA_TM_VL_1218
2011;Apr;0;0;0;0;0;0;ITA_TM_VL_1218
2011;May;0;0;0;0;0;0;ITA_TM_VL_1218
2011;Jun;0;0;0;0;0;0;ITA_TM_VL_1218
2011;Jul;0;0;0;0;0;0;ITA_TM_VL_1218
2011;Aug;0;0;0;0;0;0;ITA_TM_VL_1218
2011;Sep;0;0;0;0;0;0;ITA_TM_VL_1218
2011;Oct;0;0;0;0;0;0;ITA_TM_VL_1218
2011;Nov;0;0;0;0;0;0;ITA_TM_VL_1218
2011;Dec;0;0;0;0;0;0;ITA_TM_VL_1218
2012;Jan;0;0;0;0;0;0;ITA_TM_VL_1218
2012;Feb;0;0;0;0;0;0;ITA_TM_VL_1218
2012;Mar;0;0;0;0;0;0;ITA_TM_VL_1218
2012;Apr;0;0;0;0;0;0;ITA_TM_VL_1218
2012;May;0;0;0;0;0;0;ITA_TM_VL_1218
2012;Jun;0;0;0;0;0;0;ITA_TM_VL_1218
2012;Jul;0;0;0;0;0;0;ITA_TM_VL_1218
2012;Aug;0;0;0;0;0;0;ITA_TM_VL_1218
2012;Sep;0;0;0;0;0;0;ITA_TM_VL_1218
2012;Oct;0;0;0;0;0;0;ITA_TM_VL_1218
2012;Nov;0;0;0;0;0;0;ITA_TM_VL_1218
2012;Dec;0;0;0;0;0;0;ITA_TM_VL_1218
2013;Jan;0;0;0;0;0;0;ITA_TM_VL_1218
2013;Feb;0;0;0;0;0;0;ITA_TM_VL_1218
2013;Mar;0;0;0;0;0;0;ITA_TM_VL_1218
2013;Apr;0;0;0;0;0;0;ITA_TM_VL_1218
2013;May;0;0;0;0;0;0;ITA_TM_VL_1218
2013;Jun;0;0;0;0;0;0;ITA_TM_VL_1218
2013;Jul;0;0;0;0;0;0;ITA_TM_VL_1218
2013;Aug;0;0;0;0;0;0;ITA_TM_VL_1218
2013;Sep;0;0;0;0;0;0;ITA_TM_VL_1218
2013;Oct;0;0;0;0;0;0;ITA_TM_VL_1218
2013;Nov;0;0;0;0;0;0;ITA_TM_VL_1218
2013;Dec;0;0;0;0;0;0;ITA_TM_VL_1218
2014;Jan;0;0;0;0;0;0;ITA_TM_VL_1218
2014;Feb;0;0;0;0;0;0;ITA_TM_VL_1218
2014;Mar;0;0;0;0;0;0;ITA_TM_VL_1218
2014;Apr;0;0;0;0;0;0;ITA_TM_VL_1218
2014;May;0;0;0;0;0;0;ITA_TM_VL_1218
2014;Jun;0;0;0;0;0;0;ITA_TM_VL_1218
2014;Jul;0;0;0;0;0;0;ITA_TM_VL_1218
2014;Aug;0;0;0;0;0;0;ITA_TM_VL_1218
2014;Sep;0;0;0;0;0;0;ITA_TM_VL_1218
2014;Oct;0;0;0;0;0;0;ITA_TM_VL_1218
2014;Nov;0;0;0;0;0;0;ITA_TM_VL_1218
2014;Dec;0;0;0;0;0;0;ITA_TM_VL_1218
;seed;0;0;0;0;0;0;ITA_TM_VL_1824
2008;Jan;0;0;0;0;0;0;ITA_TM_VL_1824
2008;Feb;0;0;0;0;0;0;ITA_TM_VL_1824
2008;Mar;0;0;0;0;0;0;ITA_TM_VL_1824
2008;Apr;0;0;0;0;0;0;ITA_TM_VL_1824
2008;May;0;0;0;0;0;0;ITA_TM_VL_1824
2008;Jun;0;0;0;0;0;0;ITA_TM_VL_1824
2008;Jul;0;0;0;0;0;0;ITA_TM_VL_1824
2008;Aug;0;0;0;0;0;0;ITA_TM_VL_1824
2008;Sep;0;0;0;0;0;0;ITA_TM_VL_1824
2008;Oct;0;0;0;0;0;0;ITA_TM_VL_1824
2008;Nov;0;0;0;0;0;0;ITA_TM_VL_1824
2008;Dec;0;0;0;0;0;0;ITA_TM_VL_1824
