FS;Year;Month;Vess;Unit;Source;;;;;;
GSA6_DTS_VL0612;2008;0;22;vess;AER-FDI;;;;;;
GSA6_DTS_VL0612;2009;0;21;vess;AER-FDI;;;;;;
GSA6_DTS_VL0612;2010;0;19;vess;AER-FDI;;;;;;
GSA6_DTS_VL0612;2011;0;18;vess;AER-FDI;;;;;;
GSA6_DTS_VL0612;2012;0;17;vess;AER-FDI;;;;;;
GSA6_DTS_VL0612;2013;0;16;vess;AER-FDI;;;;;;
GSA6_DTS_VL0612;2014;0;16;vess;AER-FDI;;;;;;
GSA6_DTS_VL0612;2015;0;15;vess;AER-FDI;;;;;;
GSA6_DTS_VL0612;2016;0;12;vess;AER-FDI;;;;;;
GSA6_DTS_VL0612;2017;0;8;vess;AER-FDI;;;;;;
GSA6_DTS_VL0612;2018;0;17;vess;AER-FDI;;;;;;
GSA6_DTS_VL0612;2019;0;17;vess;AER-FDI;;;;;;
GSA6_DTS_VL1218;2008;0;151;vess;AER-FDI;;;;;;
GSA6_DTS_VL1218;2009;0;147;vess;AER-FDI;;;;;;
GSA6_DTS_VL1218;2010;0;133;vess;AER-FDI;;;;;;
GSA6_DTS_VL1218;2011;0;124;vess;AER-FDI;;;;;;
GSA6_DTS_VL1218;2012;0;117;vess;AER-FDI;;;;;;
GSA6_DTS_VL1218;2013;0;112;vess;AER-FDI;;;;;;
GSA6_DTS_VL1218;2014;0;111;vess;AER-FDI;;;;;;
GSA6_DTS_VL1218;2015;0;104;vess;AER-FDI;;;;;;
GSA6_DTS_VL1218;2016;0;98;vess;AER-FDI;;;;;;
GSA6_DTS_VL1218;2017;0;100;vess;AER-FDI;;;;;;
GSA6_DTS_VL1218;2018;0;146;vess;AER-FDI;;;;;;
GSA6_DTS_VL1218;2019;0;145;vess;AER-FDI;;;;;;
GSA6_DTS_VL1824;2008;0;293;vess;AER-FDI;;;;;;
GSA6_DTS_VL1824;2009;0;284;vess;AER-FDI;;;;;;
GSA6_DTS_VL1824;2010;0;258;vess;AER-FDI;;;;;;
GSA6_DTS_VL1824;2011;0;239;vess;AER-FDI;;;;;;
GSA6_DTS_VL1824;2012;0;226;vess;AER-FDI;;;;;;
GSA6_DTS_VL1824;2013;0;216;vess;AER-FDI;;;;;;
GSA6_DTS_VL1824;2014;0;214;vess;AER-FDI;;;;;;
GSA6_DTS_VL1824;2015;0;201;vess;AER-FDI;;;;;;
GSA6_DTS_VL1824;2016;0;200;vess;AER-FDI;;;;;;
GSA6_DTS_VL1824;2017;0;199;vess;AER-FDI;;;;;;
